FULLNAME,SHORTNAME,NICKNAME,DIVISION,ALIGNMENT,CONTRACT,ROLE,KEYWORD1,KEYWORD2,KEYWORD3,MANAGER,TAGTEAM,FACTION,CHAMPIONSHIP,ACCOLADES,WINS,LOSSES,DRAWS,RANK
AJ Styles,Styles,The Phenomenal One,Mens,Face,Red,MainEvent,Athletic,High Risk,Veteran,,,,,,,,,
Akira Tozawa,,,Mens,,Inactive,,,,,,,,,,,,,
Alba Fyre,,,Womens,,Gold,Jobber,,,,,,,,,,,,
Alexa Bliss,,,Womens,Heel,Red,MainEvent,Entertaining,,,,,,,,,,,
Aliyah,,,Womens,,,,,,,,,,,,,,,
Andr� the Giant,,,Mens,,Retired,,Giant,Veteran,,,,,,,,,,
Angel,,,Mens,,Inactive,,,,,,,,,,,,,
Angelo Dawkins,,,Mens,Face,Red,MidCard,,,,,Street Profits,,,,,,,
Apollo Crews,,,Mens,Heel,Blue,MidCard,Athletic,,,,,,,,,,,
Asuka,,The Empress of Tomorrow,Womens,Face,Red,MainEvent,Badass,Entertaining,FanFavorite,,,,,,,,,
Austin Theory,,,Mens,,Inactive,,,,,,,,,,,,,
Axiomens,,,Mens,Face,Gold,MidCard,Lucha,,,,,,,,,,,
Batista,,The Animal,Mens,,Retired,,Badass,Hoss,Smart,,,,,,,,,
Bayley,,The Role Model,Womens,Heel,Red,MainEvent,Arrogant,Technician,,,,Damage CTRL,,,,,,
Becky Lynch,,The Man,Womens,Heel,Red,MainEvent,Arrogant,Brawler,Badass,,,,,,,,,
Beth Phoenix,,,Womens,,,Legend,,,,,,,,,,,,
Bianca Belair,Bianca,The EST,Womens,Face,Blue,MidCard,Athletic,Hoss,,,,,,,,,,
Big Boss Man,,,Mens,,Retired,,,,,,,,,,,,,
Big E,E,,Mens,Face,Red,MidCard,Hoss,,,,,New Day,,,,,,
Bobby Lashley,Lashley,The All Mighty,Mens,Heel,Red,UpperMidCard,Hoss,,,,,,,,,,,
Boogeyman,,,Mens,,Retired,,,,,,,,,,,,,
Booker T,,,Mens,,Inactive,,,,,,,,,,,,,
Braun Strowman,,,Mens,,Inactive,,,,,,,,,,,,,
"Bret ""The Hitman"" Hart",,,Mens,,Retired,,,,,,,,,,,,,
Brie Bella,Brie,,Womens,,,MidCard,,,,,,,,,,,,
British Bulldog,Bulldog,,Mens,,Retired,,,,,,,,,,,,,
Brock Lesnar,Lesnar,The Beast Incarnate,Mens,,Inactive,,Athletic,Monster,Hoss,,,,,,,,,
Bron Breakker,,,Mens,,Inactive,,,,,,,,,,,,,
Bruno Sammartino,,,Mens,,Retired,,,,,,,,,,,,,
Brutus Creed,,,Mens,,Inactive,,,,,,,,,,,,,
Butch,,,Mens,Heel,Red,MidCard,,,,,,The Brawling Brutes,,,,,,
Cactus Jack,,,Mens,,Retired,,,,,,,,,,,,,
Cameron Grimes,,,Mens,,Inactive,,,,,,,,,,,,,
Carmella,,,Womens,Heel,Blue,MidCard,Arrogant,,,,,,,,,,,
Carmelo Hayes,,,Mens,,Inactive,,,,,,,,,,,,,
Cedric Alexander,,,Mens,,Inactive,,,,,,,,,,,,,
Chad Gable,Gable,,Mens,Heel,Red,MidCard,,,,,,,,,,,,
Charlotte Flair,Charlotte,The Queen,Womens,Heel,Red,MainEvent,Arrogant,Heat,Sore Loser,,,,,,,,,
Chyna,,,Womens,,Retired,,,,,,,,,,,,,
Cody Rhodes,Cody,The American Nightmare,Mens,Face,Red,MainEvent,Classic,FanFavorite,Well-Spoken,,,,,,,,,
Commander Azeez,,,Mens,,Inactive,,,,,,,,,,,,,
Cora Jade,,,Womens,Face,Blue,Jobber,,,,,,,,,,,,
Cruz Del Toro,,,Mens,,Inactive,,,,,,,,,,,,,
Dakota Kai,,,Womens,Heel,Red,UpperMidCard,,,,,,Damage CTRL,,,,,,
Christian Cage,Christian,,Mens,Heel,Red,MidCard,Arrogant,Mind Games,Classic,,,,,,,,,
Damian Priest,Priest,,Mens,Heel,Blue,MidCard,,,,,,Judgment Day,,,,,,
Dana Brooke,,,Womens,,Inactive,Lower Card,,,,,,,,,,,,
Dexter Lumis,,,Mens,,Blue,MidCard,,,,,,,,,,,,
Diesel,,,Mens,,Retired,,,,,,,,,,,,,
Doink the Clown,,,Mens,,Retired,,,,,,,,,,,,,
Dolph Ziggler,,,Mens,,Inactive,,,,,,,,,,,,,
Dominik Mysterio,Dominik,,Mens,Heel,Red,MidCard,,,,,,Judgment Day,,,,,,
Doudrop,,,Womens,Face,Red,MidCard,Hoss,Technician,,,,,,,,,,
Drew Gulak,,,Mens,,Inactive,,Technician,,,,,,,,,,,
Drew McIntyre,McIntyre,,Mens,Face,Red,MainEvent,Hoss,FanFavorite,,,,,,,,,,
Eddie Guerrero,,,Mens,,Retired,,,,,,,,,,,,,
Edge,,The Rated R Superstar,Mens,Face,Red,Legend,FanFavorite,Mind Games,Opportunistic,,,,,,,,,
Elias,,,Mens,Face,Red,MidCard,,,,,,,,,,,,
Eric BischofWomens,,,Mens,,Inactive,,,,,,,,,,,,,
Erik,,,Mens,Face,Red,MidCard,,,,,The Viking Raiders,,,,,,,
Ezekiel,,,Mens,,Inactive,,,,,,,,,,,,,
Faarooq,,,Mens,,Retired,,,,,,,,,,,,,
Finn B�lor,,,Mens,Heel,Blue,UpperMidCard,Arrogant,,,,,Judgment Day,,,,,,
Gigi Dolin,,,Womens,Face,Red,MidCard,,,,,,Toxic Attraction,,,,,,
Giovanni Vinci,,,Mens,,Inactive,,,,,,,,,,,,,
Goldberg,,,Mens,,Retired,,,,,,,,,,,,,
Grayson Waller,,,Mens,,Inactive,,,,,,,,,,,,,
GUNTHER,,,Mens,Heel,Red,UpperMidCard,Badass,Foreigner,Veteran,,,Imperiumens,,,,,,
Happy Corbin,,,Mens,,Inactive,,,,,,,,,,,,,
Hollywood Hogan,,,Mens,,Retired,,,,,,,,,,,,,
Hulk Hogan,,,Mens,,Retired,,,,,,,,,,,,,
Humberto,,,Mens,,Inactive,,,,,,,,,,,,,
The Hurricane,Hurricane,,Mens,Face,Blue,Jobber,Comedic,FanFavorite,,,,,,,,,,
Ilja Dragunov,,,Mens,,Inactive,,,,,,,,,,,,,
Indi Hartwell,,,Womens,Heel,Blue,MidCard,Brawler,,,,,,,,,,,
IYO SKY,,,Womens,Heel,Red,MainEvent,High Risk,Daredevil,,,,Damage CTRL,,,,,,
Ivar,,,Mens,Face,Red,MidCard,,,,,The Viking Raiders,,,,,,,
Jacy Jayne,,,Womens,Heel,Red,MidCard,,,,,,Toxic Attraction,,,,,,
Jake �The Snake� Roberts,,,Mens,Face,,,Manipulative,Mind Games,Well-Spoken,,,,,,,,,
JD McDonagh,,,Mens,,Inactive,,,,,,,,,,,,,
"Jerry ""The King"" Lawler",,,Mens,,Retired,,,,,,,,,,,,,
Jey Uso,Jey,,Mens,Heel,Red,MainEvent,,,,,The Usos,The Bloodline,,,,,,
"Jim ""The Anvil"" Neidhart",,,Mens,,Retired,,,,,,,,,,,,,
Jimmy Uso,Jimmy,,Mens,Heel,Red,MainEvent,,,,,The Usos,The Bloodline,,,,,,
Jinder Mahal,,the Modern Maharaja,Mens,Heel,Blue,MidCard,Arrogant,,,,,,,,,,,
Joaquin Wilde,,,Mens,,Inactive,,,,,,,,,,,,,
JBL,,,Mens,,Retired,,,,,,,,,,,,,
John Cena,,,Mens,,Inactive,,,,,,,,,,,,,
Johnny Gargano,,,Mens,,Inactive,,Athletic,Underdog,Technician,,,,,,,,,
Julius Creed,,,Mens,,Inactive,,,,,,,,,,,,,
Kane,,,Mens,,Retired,,,,,,,,,,,,,
Karrion Kross,,,Mens,Heel,Red,MidCard,,,,,,,,,,,,
Katana Chance,,,Womens,Face,Blue,Jobber,,,,,,,,,,,,
Kayden Carter,,,Womens,Face,Blue,Jobber,,,,,,,,,,,,
Kevin Nash,,,Mens,,Retired,,,,,,,,,,,,,
Kevin Owens,,the Prize Fighter,Mens,Face,Red,MainEvent,Badass,Brawler,Hoss,,,,,,,,,
Kofi Kingston,,,Mens,Face,Red,MidCard,High Risk,Athletic,,,The New Day,The New Day,,,,,,
Kurt Angle,,,Mens,,Retired,,,,,,,,,,,,,
LA Knight,,,Mens,Face,Blue,Jobber,,,,,,,,,,,,
Lacey Evans,,,Womens,Heel,Inactive,Lower Card,,,,,,,,,,,,
Liv Morgan,,,Womens,Face,Red,MainEvent,,,,,,,,,,,,
Lita,,,Womens,,Retired,,,,,,,,,,,,,
Logan Paul,,,Mens,,Inactive,,,,,,,,,,,,,
Ludwig Kaiser,,,Mens,,Inactive,,,,,,Imperiumens,,,,,,,
MA.CE,,,Mens,Face,Blue,Jobber,Comedic,,,,Maximum Male Models,,,,,,,
