SUPERSTAR,ALIGNMENT,BRAND,SEX,ROLE,MANAGER,TAGTEAM,FACTION,CHAMPIONSHIP,ACCOLADES,WINS,LOSSES,DRAWS
AJ Styles,Face,Red,M,MainEvent,,,,,,,,
Akira Tozawa,,Inactive,M,,,,,,,,,
Alba Fyre,,Gold,F,Jobber,,,,,,,,
Alexa Bliss,Heel,Red,F,MainEvent,,,,,,,,
Aliyah,,,F,,,,,,,,,
André the Giant,,Retired,M,,,,,,,,,
Angel,,Inactive,M,,,,,,,,,
Angelo Dawkins,Face,Red,M,MidCard,,Street Profits,,,,,,
Apollo Crews,Heel,Blue,M,MidCard,,,,,,,,
Asuka,Face,Red,F,MainEvent,,,,,,,,
Austin Theory,,Inactive,M,,,,,,,,,
Axiom,Face,Gold,M,MidCard,,,,,,,,
Batista,,Retired,M,,,,,,,,,
Bayley,Heel,Red,F,MainEvent,,,Damage CTRL,,,,,
Becky Lynch,Heel,Red,F,MainEvent,,,,,,,,
Beth Phoenix,,,F,Legend,,,,,,,,
Bianca Belair,Face,Blue,F,MidCard,,,,,,,,
Big Boss Man,,Retired,M,,,,,,,,,
Big E,Face,Red,M,MidCard,,,New Day,,,,,
Bobby Lashley,Heel,Red,M,UpperMidCard,,,,,,,,
Boogeyman,,Retired,M,,,,,,,,,
Booker T,,Inactive,M,,,,,,,,,
Braun Strowman,,Inactive,M,,,,,,,,,
"Bret ""The Hitman"" Hart",,Retired,M,,,,,,,,,
Brie Bella,,,F,MidCard,,,,,,,,
British Bulldog,,Retired,M,,,,,,,,,
Brock Lesnar,,Inactive,M,,,,,,,,,
Bron Breakker,,Inactive,M,,,,,,,,,
Bruno Sammartino,,Retired,M,,,,,,,,,
Brutus Creed,,Inactive,M,,,,,,,,,
Butch,Heel,Red,M,MidCard,,,The Brawling Brutes,,,,,
Cactus Jack,,Retired,M,,,,,,,,,
Cameron Grimes,,Inactive,M,,,,,,,,,
Carmella,Heel,Blue,F,MidCard,,,,,,,,
Carmelo Hayes,,Inactive,M,,,,,,,,,
Cedric Alexander,,Inactive,M,,,,,,,,,
